time	geo	champ	rh	rbh
2021-01-01	ES	mdhim	0.03817937054777748	0.04897696823335261
2021-01-01	ES	mdhimfi	0.02581744698848646	0.034404188861595034
2021-01-01	ES	tb	0.03234414849664034	0.03832743223477118
2021-01-01	NL	md	0.0639001479702018	0.08012428576877434
2021-01-01	NL	mdhfi	0.0578606474845001	0.07079287271657056
2021-01-01	NL	mdhi	0.15230281996471162	0.19313404253282004
2021-01-01	NL	mdhifi	0.14239871298995965	0.1762559381723506
2021-01-01	NL	mdhim	0.11624624180897765	0.14620367473324974
2021-01-01	NL	mdhimfi	0.1026496120061569	0.12705594936415368
2021-01-01	NL	tb	0.05120040445927663	0.06421361717608327
2021-01-01	BE	md	0.04291348641454228	0.0560894681772488
2021-01-01	BE	mdhfi	0.03837896227681892	0.04959799236820567
2021-01-01	BE	mdhi	0.06947581874910883	0.09850506305311746
2021-01-01	BE	mdhifi	0.06074583925319589	0.08626966812514293
2021-01-01	BE	mdhim	0.0692265809366405	0.09449219938369037
2021-01-01	BE	mdhimfi	0.05246396893411176	0.07450797032548219
2021-01-01	BE	tb	0.04196452069374797	0.053811620536912026
2020-01-01	DE	md	0.028837109891544435	0.036348729253921214
2020-01-01	DE	mdhfi	0.027716958276181737	0.03430264601023116
2020-01-01	DE	mdhi	0.04647467530944358	0.06720746686285523
2020-01-01	DE	mdhifi	0.044204508515648215	0.06298952079851457
2020-01-01	DE	mdhim	0.0472362379041585	0.06289371009636756
2020-01-01	DE	mdhimfi	0.03296025649562514	0.04696694594671504
2020-01-01	DE	tb	0.02467013120118331	0.031102721136341598
2020-01-01	FR	md	0.026665347952528153	0.035169122791661483
2020-01-01	FR	mdhfi	0.029725630509871207	0.036224655747595334
2020-01-01	FR	mdhi	0.027215174567945775	0.06072488927063992
2020-01-01	FR	mdhifi	0.03995071859244589	0.06691409237444179
2020-01-01	FR	mdhim	0.022510299504605737	0.04126167474738788
2020-01-01	FR	mdhimfi	0.017566194660133257	0.03219796551106441
2020-01-01	FR	tb	0.024646186205424307	0.03205331915846919
2020-01-01	IT	md	0.04508264578925579	0.051507963886943994
2020-01-01	IT	mdhfi	0.041108008366557175	0.04649821906330392
2020-01-01	IT	mdhi	0.0598354525469842	0.07570161322938437
2020-01-01	IT	mdhifi	0.0503805337292171	0.06401034053824739
2020-01-01	IT	mdhim	0.05963709899772328	0.07258638339213812
2020-01-01	IT	mdhimfi	0.04081559072205627	0.05185772495842814
2020-01-01	IT	tb	0.041375785776319146	0.046979620933587304
2020-01-01	ES	md	0.03919620327936896	0.0443714953893907
2020-01-01	ES	mdhfi	0.03586319787279758	0.040343326832727164
2020-01-01	ES	mdhi	0.031598684187465136	0.04113937343984093
2020-01-01	ES	mdhifi	0.025170380381301802	0.03353259680356803
2020-01-01	ES	mdhim	0.03602381243960646	0.04387920446054678
2020-01-01	ES	mdhimfi	0.020624843256122367	0.027476920990757433
2020-01-01	ES	tb	0.03397817127479613	0.03835534982112523
2020-01-01	NL	md	0.05763115119095901	0.07019825048821107
2020-01-01	NL	mdhfi	0.047714270478159945	0.05794572455876286
2020-01-01	NL	mdhi	0.13381577491976446	0.16481590599854282
2020-01-01	NL	mdhifi	0.11346560405956693	0.13970550209543992
2020-01-01	NL	mdhim	0.10442122593657654	0.12735458065299118
2020-01-01	NL	mdhimfi	0.08250742037540239	0.10158797184117432
2020-01-01	NL	tb	0.04560213545282835	0.055654658208533984
2020-01-01	BE	md	0.041769392393548245	0.05292258292648875
2020-01-01	BE	mdhfi	0.03791502334367371	0.04692000565231401
2020-01-01	BE	mdhi	0.06534669646122214	0.08975869536308088
2020-01-01	BE	mdhifi	0.05809814490823084	0.07847759766130713
2020-01-01	BE	mdhim	0.06609334080192049	0.08742208108395011
2020-01-01	BE	mdhimfi	0.050362523883741725	0.06802850405635451
2020-01-01	BE	tb	0.04031709461175697	0.050346964246853185
2019-01-01	DE	md	0.03177276930006702	0.04120504508173713
2019-01-01	DE	mdhfi	0.03063978025121499	0.03922776242596153
2019-01-01	DE	mdhi	0.0529966969006755	0.07888033332165793
2019-01-01	DE	mdhifi	0.05087965772404123	0.07521844814322064
2019-01-01	DE	mdhim	0.052932717775845024	0.0724791515347157
2019-01-01	DE	mdhimfi	0.03794375483206591	0.05609452741751142
2019-01-01	DE	tb	0.027333338321247864	0.035413219905749624
2019-01-01	FR	md	0.03264318342130615	0.04167806226090185
2019-01-01	FR	mdhfi	0.03582983036099703	0.04283895015345168
2019-01-01	FR	mdhi	0.04739093738191085	0.08275314034667912
2019-01-01	FR	mdhifi	0.06151770888493075	0.09035706785661149
2019-01-01	FR	mdhim	0.033894590613817645	0.053747112574308344
2019-01-01	FR	mdhimfi	0.02905092277295415	0.044767008134962406
2019-01-01	FR	tb	0.029586872473069677	0.03744819074309022
2019-01-01	IT	md	0.05328505444552969	0.059895774341319714
2019-01-01	IT	mdhfi	0.049540177181801995	0.055097791881140924
2019-01-01	IT	mdhi	0.0771827455675755	0.09336996913858756
2019-01-01	IT	mdhifi	0.06874193635373527	0.08266821934156551
2019-01-01	IT	mdhim	0.07524893209889687	0.08848865122512602
2019-01-01	IT	mdhimfi	0.05582368105003834	0.06713288211363287
2019-01-01	IT	tb	0.048715616311425895	0.054477742920647984
2019-01-01	ES	md	0.05663259759295533	0.06274869623366283
2019-01-01	ES	mdhfi	0.054417665524345134	0.05952165340467493
2019-01-01	ES	mdhi	0.062277571861504497	0.07347005219562378
2019-01-01	ES	mdhifi	0.058327258121212464	0.06778222221912023
2019-01-01	ES	mdhim	0.062100440377242674	0.0713839465552175
2019-01-01	ES	mdhimfi	0.04815675340970046	0.05596305854433054
2019-01-01	ES	tb	0.048187048265559446	0.05335567748266293
2019-01-01	NL	md	0.06366118821456096	0.07939456236135856
2019-01-01	NL	mdhfi	0.05400700468353349	0.06653859722505809
2019-01-01	NL	mdhi	0.14295915769689588	0.18080541281437512
2019-01-01	NL	mdhifi	0.12399921656800629	0.15528597001841504
2019-01-01	NL	mdhim	0.11306918297022518	0.14128778889815
2019-01-01	NL	mdhimfi	0.09095461534483984	0.11390374925255355
2019-01-01	NL	tb	0.04999144032839143	0.06250070661081912
2019-01-01	BE	md	0.043984440071884276	0.05745937986106774
2019-01-01	BE	mdhfi	0.03953550248047685	0.05056124618448396
2019-01-01	BE	mdhi	0.06934856122402776	0.09841797592985899
2019-01-01	BE	mdhifi	0.061049157199831526	0.08565440439967587
2019-01-01	BE	mdhim	0.06992535116242174	0.095439986744832
2019-01-01	BE	mdhimfi	0.053166171884929725	0.07459426134431574
2019-01-01	BE	tb	0.04161315099391852	0.05372091638929941
2018-01-01	DE	md	0.03607179681411645	0.04622206131172115
2018-01-01	DE	mdhfi	0.035221088885445846	0.04453436907388256
2018-01-01	DE	mdhi	0.06159732788535548	0.0892525322808738
2018-01-01	DE	mdhifi	0.06051756695886202	0.08671887502716769
2018-01-01	DE	mdhim	0.060542636606187	0.0813956808351232
2018-01-01	DE	mdhimfi	0.045062108235549014	0.06457191736071671
2018-01-01	DE	tb	0.03103994610935189	0.039735522383536066
2018-01-01	FR	md	0.03261876382928403	0.04112958320841976
2018-01-01	FR	mdhfi	0.03469170952136144	0.041450358919501766
2018-01-01	FR	mdhi	0.04659088469879641	0.08006917421429478
2018-01-01	FR	mdhifi	0.056064809362388425	0.08395561185523474
2018-01-01	FR	mdhim	0.03348217389628404	0.052214681985343826
2018-01-01	FR	mdhimfi	0.026086725331638416	0.041253162994462744
2018-01-01	FR	tb	0.029493477627347636	0.03688604363880444
2018-01-01	IT	md	0.053051702210065964	0.05926524353740246
2018-01-01	IT	mdhfi	0.0490246681510388	0.0542460883199465
2018-01-01	IT	mdhi	0.07855409212197151	0.09385141672101151
2018-01-01	IT	mdhifi	0.06940707558227509	0.08256045369025908
2018-01-01	IT	mdhim	0.0757259784374077	0.08822073833287987
2018-01-01	IT	mdhimfi	0.05628788965425922	0.06695504266872834
2018-01-01	IT	tb	0.048613087938763976	0.05402238655905021
2018-01-01	ES	md	0.057112697377010704	0.06447520911494445
2018-01-01	ES	mdhfi	0.05475070441891339	0.06086300624430387
2018-01-01	ES	mdhi	0.062118820563299475	0.07546748521646629
2018-01-01	ES	mdhifi	0.057925489813423284	0.06915095216075554
2018-01-01	ES	mdhim	0.06227825959983691	0.07346264628245605
2018-01-01	ES	mdhimfi	0.04830761184562924	0.05766921206013428
2018-01-01	ES	tb	0.04883573974165739	0.055033473726716534
2018-01-01	NL	md	0.06428227880273112	0.0800507053083442
2018-01-01	NL	mdhfi	0.054741160136952606	0.0666818597700089
2018-01-01	NL	mdhi	0.14051237958407017	0.1779511713321547
2018-01-01	NL	mdhifi	0.12193475260539773	0.1513450656670026
2018-01-01	NL	mdhim	0.11180589294554516	0.1397623413280402
2018-01-01	NL	mdhimfi	0.08958644132170393	0.11119443435936541
2018-01-01	NL	tb	0.050471400759925095	0.06293671435409051
2018-01-01	BE	md	0.03940654568994921	0.055115743036413416
2018-01-01	BE	mdhfi	0.03506843353624407	0.04826325245947919
2018-01-01	BE	mdhi	0.05845870811289322	0.09209290625195615
2018-01-01	BE	mdhifi	0.05008887853686701	0.07932006414050358
2018-01-01	BE	mdhim	0.06063167123531312	0.09030338414735882
2018-01-01	BE	mdhimfi	0.04385144033437968	0.06944254216864375
2018-01-01	BE	tb	0.03749548084809615	0.05159829922390672
